lead_id,created_date,first_name,last_name,email,company_domain,channel,campaign,became_deal
L000027,2025-01-01 10:15:00,Grace,Lindqvist,grace.lindqvist@oakhurst.com,oakhurst.com,Display - Programmatic,contextual-b2b,false
L000028,2025-01-18 10:30:00,Darius,Horvat,darius.horvat@copperline.com,copperline.com,Display - Programmatic,retarget-display,false
L000029,2025-01-04 20:30:00,Mei,Krishnan,mei.krishnan@ember.com,ember.com,Display - Programmatic,retarget-display,false
L000030,2025-01-24 10:45:00,Malik,Bahri,malik.bahri@foxglove.com,foxglove.com,Display - Programmatic,retarget-display,false
L000031,2025-01-22 15:00:00,Peter,Szabo,peter.szabo@tessellate.com,tessellate.com,Display - Programmatic,retarget-display,false
L000032,2025-01-18 19:30:00,Jonas,Bergstrom,jonas.bergstrom@solvent.com,solvent.com,Display - Programmatic,retarget-display,false
L000033,2025-01-05 12:15:00,Darius,Grant,darius.grant@foxglove.com,foxglove.com,Display - Programmatic,retarget-display,false
L000034,2025-01-12 10:45:00,Arun,Vieira,arun.vieira@copperline.com,copperline.com,Display - Programmatic,contextual-b2b,false
L000035,2025-01-14 08:30:00,Lena,Iyer,lena.iyer@foxglove.com,foxglove.com,Display - Programmatic,contextual-b2b,true
L000036,2025-01-03 14:30:00,Noor,Whitfield,noor.whitfield@foxglove.com,foxglove.com,Display - Programmatic,retarget-display,false
L000037,2025-01-28 10:15:00,Tomas,Krishnan,tomas.krishnan@halcyon.com,halcyon.com,Display - Programmatic,retarget-display,false
L000038,2025-01-28 20:15:00,Adeola,Haddad,adeola.haddad@kestrel.com,kestrel.com,Display - Programmatic,contextual-b2b,false
L000039,2025-01-08 18:15:00,Kenji,Iyer,kenji.iyer@foxglove.com,foxglove.com,Display - Programmatic,contextual-b2b,false
L000040,2025-01-19 09:30:00,Callum,Moreau,callum.moreau@pinnacle.com,pinnacle.com,Display - Programmatic,contextual-b2b,false
L000041,2025-01-08 09:30:00,Lena,Castellanos,lena.castellanos@anvil.com,anvil.com,Display - Programmatic,retarget-display,false
L000042,2025-01-27 15:45:00,Priya,Horvat,priya.horvat@quillon.com,quillon.com,Display - Programmatic,contextual-b2b,false
L000043,2025-01-22 17:00:00,Grace,Zhang,grace.zhang@brightpath.com,brightpath.com,Display - Programmatic,contextual-b2b,false
L000044,2025-01-23 09:00:00,Elodie,Moreau,elodie.moreau@halcyon.com,halcyon.com,Display - Programmatic,contextual-b2b,false
L000045,2025-01-18 13:00:00,Jonas,Doyle,jonas.doyle@halcyon.com,halcyon.com,Display - Programmatic,contextual-b2b,false
L000046,2025-01-13 08:45:00,Darius,Bahri,darius.bahri@ridgeline.com,ridgeline.com,Display - Programmatic,contextual-b2b,false
L000047,2025-01-03 09:45:00,Peter,Bergstrom,peter.bergstrom@ridgeline.com,ridgeline.com,Display - Programmatic,retarget-display,false
L000048,2025-01-27 07:30:00,Tomas,Watanabe,tomas.watanabe@ember.com,ember.com,Display - Programmatic,retarget-display,false
L000049,2025-01-18 08:45:00,Marcus,Moreau,marcus.moreau@northwind.com,northwind.com,Display - Programmatic,contextual-b2b,false
L000050,2025-01-22 16:00:00,Anaya,Szabo,anaya.szabo@nimbus.com,nimbus.com,Display - Programmatic,retarget-display,false
L000051,2025-01-09 09:30:00,Hollis,Petrov,hollis.petrov@dovetail.com,dovetail.com,Display - Programmatic,contextual-b2b,false
L000052,2025-01-07 11:15:00,Mei,Vieira,mei.vieira@thornbury.com,thornbury.com,Display - Programmatic,retarget-display,false
L000053,2025-01-02 07:30:00,Rafael,Iyer,rafael.iyer@meridian.com,meridian.com,Display - Programmatic,retarget-display,false
L000054,2025-01-01 16:00:00,Beatriz,Vieira,beatriz.vieira@pinnacle.com,pinnacle.com,Display - Programmatic,retarget-display,false
L000055,2025-01-09 20:15:00,Callum,Krishnan,callum.krishnan@halcyon.com,halcyon.com,Display - Programmatic,contextual-b2b,false
L000056,2025-01-30 20:45:00,Rafael,Aaltonen,rafael.aaltonen@quarry.com,quarry.com,Display - Programmatic,retarget-display,false
L000057,2025-01-18 12:15:00,Cormac,Almeida,cormac.almeida@cascade.com,cascade.com,Display - Programmatic,retarget-display,false
L000058,2025-01-27 12:15:00,Ingrid,Moreau,ingrid.moreau@tessellate.com,tessellate.com,Display - Programmatic,retarget-display,false
L000059,2025-01-09 14:45:00,Hollis,Watanabe,hollis.watanabe@cascade.com,cascade.com,Display - Programmatic,contextual-b2b,false
L000060,2025-01-15 08:30:00,Ivo,Farrell,ivo.farrell@dovetail.com,dovetail.com,Display - Programmatic,contextual-b2b,true
L000061,2025-01-28 09:15:00,Estelle,Szabo,estelle.szabo@quarry.com,quarry.com,Display - Programmatic,retarget-display,false
L000062,2025-01-07 15:30:00,Siobhan,Whitfield,siobhan.whitfield@quillon.com,quillon.com,Display - Programmatic,retarget-display,false
L000063,2025-01-31 19:00:00,Tomas,Pires,tomas.pires@tessellate.com,tessellate.com,Display - Programmatic,contextual-b2b,false
L000064,2025-01-31 09:15:00,Anaya,Raghunathan,anaya.raghunathan@juniper.com,juniper.com,Display - Programmatic,contextual-b2b,false
L000065,2025-01-13 10:00:00,Elodie,Watanabe,elodie.watanabe@northwind.com,northwind.com,Display - Programmatic,contextual-b2b,false
L000066,2025-01-06 07:30:00,Beatriz,Demir,beatriz.demir@nimbus.com,nimbus.com,Display - Programmatic,contextual-b2b,false
L000067,2025-01-04 08:45:00,Darius,Mulvaney,darius.mulvaney@quarry.com,quarry.com,Display - Programmatic,contextual-b2b,false
L000068,2025-01-18 16:30:00,Ivo,Kavanagh,ivo.kavanagh@oakhurst.com,oakhurst.com,Display - Programmatic,retarget-display,false
L000069,2025-01-02 15:30:00,Priya,Szabo,priya.szabo@lumen.com,lumen.com,Display - Programmatic,contextual-b2b,false
L000070,2025-01-19 08:45:00,Beatriz,Pires,beatriz.pires@oakhurst.com,oakhurst.com,Display - Programmatic,retarget-display,false
L000071,2025-01-26 19:30:00,Arun,Grant,arun.grant@arclight.com,arclight.com,Display - Programmatic,contextual-b2b,false
L000072,2025-01-13 18:30:00,Alicia,Raghunathan,alicia.raghunathan@quillon.com,quillon.com,Display - Programmatic,retarget-display,false
L000073,2025-01-12 19:00:00,Hollis,Lindqvist,hollis.lindqvist@meridian.com,meridian.com,Display - Programmatic,retarget-display,false
L000074,2025-01-10 18:45:00,Grace,Watanabe,grace.watanabe@halcyon.com,halcyon.com,Display - Programmatic,retarget-display,false
L000075,2025-01-03 18:15:00,Peter,Novak,peter.novak@dovetail.com,dovetail.com,Display - Programmatic,retarget-display,false
L000076,2025-01-22 09:00:00,Siobhan,Castellanos,siobhan.castellanos@quillon.com,quillon.com,Display - Programmatic,contextual-b2b,false
L000077,2025-01-06 18:30:00,Ivo,Horvat,ivo.horvat@ferrous.com,ferrous.com,Display - Programmatic,retarget-display,false
L000078,2025-01-16 12:15:00,Noor,Petrov,noor.petrov@tessellate.com,tessellate.com,Display - Programmatic,retarget-display,false
L000079,2025-01-18 14:45:00,Estelle,Whitfield,estelle.whitfield@redwood.com,redwood.com,Display - Programmatic,retarget-display,false
L000080,2025-01-05 07:00:00,Renata,Demir,renata.demir@ferrous.com,ferrous.com,Display - Programmatic,contextual-b2b,false
L000081,2025-01-06 19:30:00,Noor,Whitfield,noor.whitfield@dovetail.com,dovetail.com,Display - Programmatic,retarget-display,false
L000082,2025-01-04 12:30:00,Ingrid,Petrov,ingrid.petrov@dovetail.com,dovetail.com,Display - Programmatic,retarget-display,false
L000083,2025-01-11 13:15:00,Ivo,Farrell,ivo.farrell@pinnacle.com,pinnacle.com,Display - Programmatic,contextual-b2b,false
L000084,2025-01-15 16:15:00,Marcus,Okonkwo,marcus.okonkwo@kestrel.com,kestrel.com,Display - Programmatic,contextual-b2b,false
L000085,2025-01-26 07:30:00,Elodie,Krishnan,elodie.krishnan@quillon.com,quillon.com,Display - Programmatic,contextual-b2b,false
L000086,2025-01-10 09:15:00,Priya,Farrell,priya.farrell@tessellate.com,tessellate.com,Display - Programmatic,retarget-display,false
L000087,2025-01-13 17:00:00,Callum,Novak,callum.novak@solvent.com,solvent.com,Display - Programmatic,contextual-b2b,false
L000088,2025-01-11 09:30:00,Margit,Moreau,margit.moreau@quillon.com,quillon.com,Display - Programmatic,retarget-display,false
L000089,2025-01-17 15:00:00,Lena,Doyle,lena.doyle@thornbury.com,thornbury.com,Display - Programmatic,retarget-display,false
L000090,2025-01-11 11:15:00,Anaya,Castellanos,anaya.castellanos@tessellate.com,tessellate.com,Paid Search - Brand,brand-exact,false
L000091,2025-01-18 13:15:00,Siobhan,Doyle,siobhan.doyle@thornbury.com,thornbury.com,Paid Search - Brand,brand-phrase,false
L000092,2025-01-20 13:00:00,Marcus,Novak,marcus.novak@juniper.com,juniper.com,Paid Search - Brand,brand-phrase,false
L000093,2025-01-18 10:45:00,Beatriz,Raghunathan,beatriz.raghunathan@granitepeak.com,granitepeak.com,Paid Search - Brand,brand-exact,false
L000094,2025-01-16 11:45:00,Tomas,Krishnan,tomas.krishnan@thornbury.com,thornbury.com,Paid Search - Brand,brand-exact,false
L000095,2025-01-09 13:15:00,Ivo,Aaltonen,ivo.aaltonen@halcyon.com,halcyon.com,Paid Search - Brand,brand-phrase,true
L000096,2025-01-01 15:30:00,Malik,Raghunathan,malik.raghunathan@saltmarsh.com,saltmarsh.com,Paid Search - Brand,brand-phrase,false
L000097,2025-01-17 12:30:00,Kenji,Moreau,kenji.moreau@granitepeak.com,granitepeak.com,Paid Search - Brand,brand-exact,false
L000098,2025-01-11 18:15:00,Yusuf,Petrov,yusuf.petrov@northwind.com,northwind.com,Paid Search - Brand,brand-exact,false
L000099,2025-01-07 12:30:00,Arun,Bahri,arun.bahri@pinnacle.com,pinnacle.com,Paid Search - Brand,brand-phrase,true
L000100,2025-01-30 13:15:00,Darius,Byrne,darius.byrne@meridian.com,meridian.com,Paid Search - Brand,brand-exact,true
L000101,2025-01-02 20:30:00,Anaya,Vieira,anaya.vieira@copperline.com,copperline.com,Paid Search - Brand,brand-phrase,false
L000102,2025-01-27 07:30:00,Noor,Haddad,noor.haddad@quarry.com,quarry.com,Paid Search - Brand,brand-phrase,false
L000103,2025-01-31 17:15:00,Ingrid,Doyle,ingrid.doyle@ridgeline.com,ridgeline.com,Paid Search - Brand,brand-exact,false
L000104,2025-01-08 17:45:00,Callum,Zhang,callum.zhang@tessellate.com,tessellate.com,Paid Search - Brand,brand-exact,false
L000105,2025-01-15 15:30:00,Beatriz,Zhang,beatriz.zhang@granitepeak.com,granitepeak.com,Paid Search - Brand,brand-exact,false
L000106,2025-01-29 17:45:00,Anaya,Watanabe,anaya.watanabe@ember.com,ember.com,Paid Search - Brand,brand-exact,false
L000107,2025-01-26 15:15:00,Priya,Pires,priya.pires@solvent.com,solvent.com,Paid Search - Brand,brand-phrase,true
L000108,2025-01-27 10:15:00,Omar,Castellanos,omar.castellanos@thornbury.com,thornbury.com,Paid Search - Brand,brand-exact,false
L000109,2025-01-03 20:45:00,Estelle,Raghunathan,estelle.raghunathan@kestrel.com,kestrel.com,Paid Search - Brand,brand-phrase,false
L000110,2025-01-08 12:45:00,Omar,Bergstrom,omar.bergstrom@quillon.com,quillon.com,Paid Search - Brand,brand-phrase,true
L000111,2025-01-01 10:30:00,Callum,Zhang,callum.zhang@foxglove.com,foxglove.com,Paid Search - Brand,brand-exact,false
L000112,2025-01-23 17:00:00,Grace,Nwosu,grace.nwosu@arclight.com,arclight.com,Paid Search - Brand,brand-phrase,false
L000113,2025-01-31 12:00:00,Cormac,Grant,cormac.grant@harborview.com,harborview.com,Paid Search - Brand,brand-phrase,false
L000114,2025-01-24 16:15:00,Malik,Pires,malik.pires@foxglove.com,foxglove.com,Paid Search - Brand,brand-exact,false
L000115,2025-01-15 10:00:00,Alicia,Zhang,alicia.zhang@quillon.com,quillon.com,Paid Search - Brand,brand-exact,true
L000116,2025-01-27 18:45:00,Marcus,Szabo,marcus.szabo@solvent.com,solvent.com,Paid Search - Brand,brand-exact,false
L000117,2025-01-29 19:15:00,Adeola,Iyer,adeola.iyer@ridgeline.com,ridgeline.com,Paid Search - Brand,brand-phrase,false
L000118,2025-01-17 08:15:00,Arun,Haddad,arun.haddad@juniper.com,juniper.com,Paid Search - Brand,brand-phrase,false
L000119,2025-01-17 16:15:00,Anaya,Bahri,anaya.bahri@redwood.com,redwood.com,Paid Search - Brand,brand-exact,false
L000120,2025-01-20 10:45:00,Margit,Krishnan,margit.krishnan@solvent.com,solvent.com,Paid Search - Brand,brand-exact,false
L000121,2025-01-29 10:45:00,Rafael,Whitfield,rafael.whitfield@saltmarsh.com,saltmarsh.com,Paid Search - Brand,brand-exact,false
L000122,2025-01-05 17:15:00,Marcus,Almeida,marcus.almeida@kestrel.com,kestrel.com,Paid Search - Brand,brand-phrase,false
L000123,2025-01-07 14:00:00,Hollis,Farrell,hollis.farrell@saltmarsh.com,saltmarsh.com,Paid Search - Brand,brand-exact,false
L000124,2025-01-08 18:45:00,Ivo,Szabo,ivo.szabo@halcyon.com,halcyon.com,Paid Search - Brand,brand-phrase,false
L000125,2025-01-02 19:30:00,Anaya,Bergstrom,anaya.bergstrom@marlowe.com,marlowe.com,Paid Search - Brand,brand-exact,false
L000126,2025-01-06 19:15:00,Callum,Grant,callum.grant@arclight.com,arclight.com,Paid Search - Brand,brand-phrase,false
L000127,2025-01-27 13:30:00,Jonas,Krishnan,jonas.krishnan@harborview.com,harborview.com,Paid Search - Brand,brand-exact,false
L000128,2025-01-29 17:30:00,Omar,Castellanos,omar.castellanos@cascade.com,cascade.com,Paid Search - Brand,brand-phrase,false
L000129,2025-01-18 08:15:00,Jonas,Petrov,jonas.petrov@ember.com,ember.com,Paid Search - Brand,brand-phrase,false
L000130,2025-01-16 12:45:00,Ingrid,Byrne,ingrid.byrne@ferrous.com,ferrous.com,Paid Search - Brand,brand-exact,false
L000131,2025-01-03 11:30:00,Margit,Doyle,margit.doyle@brightpath.com,brightpath.com,Paid Search - Brand,brand-exact,false
L000132,2025-01-04 11:15:00,Anaya,Iyer,anaya.iyer@northwind.com,northwind.com,Paid Search - Brand,brand-phrase,true
L000133,2025-01-13 16:15:00,Yusuf,Bergstrom,yusuf.bergstrom@kestrel.com,kestrel.com,Paid Search - Brand,brand-exact,false
L000134,2025-01-31 12:30:00,Elodie,Farrell,elodie.farrell@brightpath.com,brightpath.com,Paid Search - Brand,brand-phrase,false
L000135,2025-01-07 16:45:00,Margit,Kavanagh,margit.kavanagh@halcyon.com,halcyon.com,Paid Search - Brand,brand-exact,false
L000136,2025-01-18 09:30:00,Alicia,Zhang,alicia.zhang@thornbury.com,thornbury.com,Paid Search - Brand,brand-exact,false
L000137,2025-01-01 11:30:00,Siobhan,Raghunathan,siobhan.raghunathan@anvil.com,anvil.com,Paid Search - Brand,brand-phrase,false
L000138,2025-01-31 13:15:00,Lena,Almeida,lena.almeida@ridgeline.com,ridgeline.com,Paid Search - Brand,brand-exact,false
L000139,2025-01-23 13:45:00,Noor,Byrne,noor.byrne@marlowe.com,marlowe.com,Paid Search - Brand,brand-phrase,false
L000140,2025-01-24 17:15:00,Adeola,Novak,adeola.novak@oakhurst.com,oakhurst.com,Paid Search - Brand,brand-exact,false
L000141,2025-01-24 08:45:00,Tomas,Krishnan,tomas.krishnan@anvil.com,anvil.com,Paid Search - Brand,brand-exact,false
L000142,2025-01-14 08:00:00,Tomas,Farrell,tomas.farrell@ferrous.com,ferrous.com,Paid Search - Brand,brand-phrase,false
L000143,2025-01-26 09:30:00,Grace,Moreau,grace.moreau@brightpath.com,brightpath.com,Paid Search - Brand,brand-exact,false
L000144,2025-01-11 07:15:00,Kenji,Raghunathan,kenji.raghunathan@nimbus.com,nimbus.com,Paid Search - Brand,brand-phrase,false
L000145,2025-01-09 08:00:00,Lena,Ferreira,lena.ferreira@kestrel.com,kestrel.com,Paid Search - Brand,brand-phrase,false
L000146,2025-01-02 13:45:00,Darius,Iyer,darius.iyer@northwind.com,northwind.com,Paid Search - Brand,brand-phrase,false
L000147,2025-01-15 14:15:00,Peter,Szabo,peter.szabo@ferrous.com,ferrous.com,Paid Search - Brand,brand-phrase,false
L000148,2025-01-11 08:45:00,Tomas,Nwosu,tomas.nwosu@ferrous.com,ferrous.com,Paid Search - Brand,brand-exact,false
L000149,2025-01-29 07:00:00,Priya,Nwosu,priya.nwosu@ridgeline.com,ridgeline.com,Paid Search - Brand,brand-exact,false
L000150,2025-01-03 13:30:00,Malik,Pires,malik.pires@foxglove.com,foxglove.com,Paid Search - Brand,brand-phrase,false
L000151,2025-01-26 14:00:00,Siobhan,Moreau,siobhan.moreau@solvent.com,solvent.com,Paid Search - Brand,brand-phrase,false
L000152,2025-01-08 18:30:00,Ivo,Szabo,ivo.szabo@foxglove.com,foxglove.com,Paid Search - Brand,brand-exact,false
L000153,2025-01-24 08:15:00,Beatriz,Whitfield,beatriz.whitfield@tessellate.com,tessellate.com,Paid Search - Brand,brand-phrase,false
L000154,2025-01-27 19:30:00,Omar,Haddad,omar.haddad@quillon.com,quillon.com,Paid Social - Meta,prospecting-lal,false
L000155,2025-01-11 19:00:00,Hollis,Bergstrom,hollis.bergstrom@brightpath.com,brightpath.com,Paid Social - Meta,lead-form-broad,false
L000156,2025-01-13 07:45:00,Adeola,Demir,adeola.demir@ironwood.com,ironwood.com,Paid Social - Meta,lead-form-broad,false
L000157,2025-01-11 07:30:00,Margit,Whitfield,margit.whitfield@ember.com,ember.com,Paid Social - Meta,prospecting-lal,false
L000158,2025-01-06 20:15:00,Renata,Zhang,renata.zhang@tessellate.com,tessellate.com,Paid Social - Meta,lead-form-broad,false
L000159,2025-01-18 17:45:00,Noor,Almeida,noor.almeida@anvil.com,anvil.com,Paid Social - Meta,prospecting-lal,false
L000160,2025-01-26 13:00:00,Peter,Iyer,peter.iyer@harborview.com,harborview.com,Paid Social - Meta,lead-form-broad,false
L000161,2025-01-01 12:30:00,Marcus,Raghunathan,marcus.raghunathan@quarry.com,quarry.com,Paid Social - Meta,lead-form-broad,false
L000162,2025-01-17 07:30:00,Peter,Iyer,peter.iyer@ember.com,ember.com,Paid Social - Meta,lead-form-broad,false
L000163,2025-01-04 08:15:00,Jonas,Whitfield,jonas.whitfield@oakhurst.com,oakhurst.com,Paid Social - Meta,prospecting-lal,false
L000164,2025-01-12 15:15:00,Marcus,Byrne,marcus.byrne@ember.com,ember.com,Paid Social - Meta,mofu-retarget,false
L000165,2025-01-12 09:30:00,Jonas,Novak,jonas.novak@anvil.com,anvil.com,Paid Social - Meta,mofu-retarget,false
L000166,2025-01-20 12:00:00,Adeola,Mulvaney,adeola.mulvaney@meridian.com,meridian.com,Paid Social - Meta,prospecting-lal,false
L000167,2025-01-12 19:00:00,Lena,Szabo,lena.szabo@ironwood.com,ironwood.com,Paid Social - Meta,lead-form-broad,false
L000168,2025-01-18 19:00:00,Hollis,Doyle,hollis.doyle@solvent.com,solvent.com,Paid Social - Meta,prospecting-lal,false
L000169,2025-01-27 18:30:00,Marcus,Szabo,marcus.szabo@tessellate.com,tessellate.com,Paid Social - Meta,prospecting-lal,false
L000170,2025-01-30 10:30:00,Margit,Bahri,margit.bahri@nimbus.com,nimbus.com,Paid Social - Meta,prospecting-lal,false
L000171,2025-01-25 19:15:00,Beatriz,Nwosu,beatriz.nwosu@cascade.com,cascade.com,Paid Social - Meta,prospecting-lal,false
L000172,2025-01-07 12:30:00,Margit,Krishnan,margit.krishnan@saltmarsh.com,saltmarsh.com,Paid Social - Meta,mofu-retarget,false
L000173,2025-01-28 15:30:00,Arun,Watanabe,arun.watanabe@arclight.com,arclight.com,Paid Social - Meta,lead-form-broad,false
L000174,2025-01-29 20:00:00,Noor,Watanabe,noor.watanabe@halcyon.com,halcyon.com,Paid Social - Meta,prospecting-lal,false
L000175,2025-01-10 17:15:00,Elodie,Iyer,elodie.iyer@ferrous.com,ferrous.com,Paid Social - Meta,lead-form-broad,false
L000176,2025-01-30 17:30:00,Yusuf,Lindqvist,yusuf.lindqvist@ferrous.com,ferrous.com,Paid Social - Meta,prospecting-lal,false
L000177,2025-01-02 16:30:00,Peter,Lindqvist,peter.lindqvist@ironwood.com,ironwood.com,Paid Social - Meta,prospecting-lal,false
L000178,2025-01-07 16:00:00,Peter,Zhang,peter.zhang@nimbus.com,nimbus.com,Paid Social - Meta,mofu-retarget,false
L000179,2025-01-07 13:00:00,Omar,Moreau,omar.moreau@thornbury.com,thornbury.com,Paid Social - Meta,mofu-retarget,false
L000180,2025-01-01 07:00:00,Arun,Szabo,arun.szabo@saltmarsh.com,saltmarsh.com,Paid Social - Meta,lead-form-broad,false
L000181,2025-01-07 09:30:00,Yusuf,Demir,yusuf.demir@brightpath.com,brightpath.com,Paid Social - Meta,mofu-retarget,false
L000182,2025-01-20 08:30:00,Jonas,Iyer,jonas.iyer@ridgeline.com,ridgeline.com,Paid Social - Meta,mofu-retarget,false
L000183,2025-01-12 10:15:00,Renata,Krishnan,renata.krishnan@quillon.com,quillon.com,Paid Social - Meta,lead-form-broad,true
L000184,2025-01-18 20:00:00,Tomas,Watanabe,tomas.watanabe@meridian.com,meridian.com,Paid Social - Meta,prospecting-lal,false
L000185,2025-01-01 18:15:00,Tomas,Farrell,tomas.farrell@northwind.com,northwind.com,Paid Social - Meta,lead-form-broad,false
L000186,2025-01-12 16:45:00,Renata,Nwosu,renata.nwosu@kestrel.com,kestrel.com,Paid Social - Meta,lead-form-broad,false
L000187,2025-01-01 18:30:00,Peter,Byrne,peter.byrne@solvent.com,solvent.com,Paid Social - Meta,mofu-retarget,false
L000188,2025-01-23 17:00:00,Beatriz,Raghunathan,beatriz.raghunathan@nimbus.com,nimbus.com,Paid Social - Meta,prospecting-lal,false
L000189,2025-01-10 20:45:00,Margit,Bahri,margit.bahri@anvil.com,anvil.com,Paid Social - Meta,prospecting-lal,false
L000190,2025-01-21 07:30:00,Hollis,Castellanos,hollis.castellanos@tessellate.com,tessellate.com,Paid Social - Meta,prospecting-lal,true
L000191,2025-01-19 16:15:00,Estelle,Pires,estelle.pires@saltmarsh.com,saltmarsh.com,Paid Social - Meta,prospecting-lal,false
L000192,2025-01-13 17:45:00,Mei,Mulvaney,mei.mulvaney@brightpath.com,brightpath.com,Paid Social - Meta,lead-form-broad,false
L000193,2025-01-21 08:45:00,Yusuf,Moreau,yusuf.moreau@northwind.com,northwind.com,Paid Social - Meta,prospecting-lal,false
L000194,2025-01-10 19:30:00,Peter,Ferreira,peter.ferreira@harborview.com,harborview.com,Paid Social - Meta,prospecting-lal,false
L000195,2025-01-03 18:45:00,Peter,Castellanos,peter.castellanos@ember.com,ember.com,Paid Social - Meta,prospecting-lal,false
L000196,2025-01-30 17:15:00,Callum,Farrell,callum.farrell@redwood.com,redwood.com,Paid Social - Meta,lead-form-broad,false
L000197,2025-01-05 07:30:00,Estelle,Nwosu,estelle.nwosu@ember.com,ember.com,Paid Social - Meta,mofu-retarget,false
L000198,2025-01-02 12:15:00,Alicia,Vieira,alicia.vieira@pinnacle.com,pinnacle.com,Paid Social - Meta,lead-form-broad,false
L000199,2025-01-06 12:00:00,Ingrid,Iyer,ingrid.iyer@ridgeline.com,ridgeline.com,Paid Social - Meta,lead-form-broad,false
L000200,2025-01-25 12:00:00,Margit,Zhang,margit.zhang@anvil.com,anvil.com,Paid Social - Meta,mofu-retarget,false
L000201,2025-01-13 08:00:00,Mei,Pires,mei.pires@lumen.com,lumen.com,Paid Social - Meta,lead-form-broad,false
L000202,2025-01-15 15:15:00,Ivo,Pires,ivo.pires@saltmarsh.com,saltmarsh.com,Paid Social - Meta,prospecting-lal,true
L000203,2025-01-21 20:00:00,Anaya,Demir,anaya.demir@tessellate.com,tessellate.com,Paid Social - Meta,prospecting-lal,false
L000204,2025-01-28 10:00:00,Jonas,Ferreira,jonas.ferreira@marlowe.com,marlowe.com,Paid Social - Meta,lead-form-broad,false
L000205,2025-01-27 10:15:00,Anaya,Aaltonen,anaya.aaltonen@arclight.com,arclight.com,Paid Social - Meta,lead-form-broad,false
L000206,2025-01-28 15:45:00,Yusuf,Petrov,yusuf.petrov@arclight.com,arclight.com,Paid Social - Meta,prospecting-lal,false
